"[신전떡볶이, 연도, 가맹점, 직영점, 합계, 2013, 74, 1, 75, 2012, 59, 1, 60, 2011, 45, 1, 46, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 17, 0, 2, 0, 2012, 14, 0, 0, 0, 2011, 0, 0, 0, 0, 지역, 가맹점수, 평균매출액, 서울, 8, , 부산, 3, , 대구, 25, , 인천, 3, , 광주, , , 대전, 1, , 울산, 3, , 경기, 21, , 강원, , , 충북, , , 충남, , , 전북, , , 전남, , , 경북, 7, , 경남, 3, , 제주, , , 전체, 74, , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, 0, 1,000, 34,100, ...]"
"[신참떡볶이, 연도, 가맹점, 직영점, 합계, 2014, 45, 0, 45, 2013, 21, 1, 22, 2012, 14, 2, 16, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2014, 28, 0, 4, 4, 2013, 10, 0, 3, 2, 2012, 9, 1, 0, 0, 지역, 가맹점수, 평균매출액, 서울, , , 부산, 1, , 대구, 25, , 인천, , , 광주, , , 대전, , , 울산, , , 경기, 7, , 강원, , , 충북, , , 충남, 8, , 전북, , , 전남, , , 경북, 4, , 경남, , , 제주, , , 전체, 45, , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 4,400, 1,650, 0, 17,950, ...]"
"[카페띠아모, 연도, 가맹점, 직영점, 합계, 2013, 235, 5, 240, 2012, 236, 6, 242, 2011, 240, 8, 248, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 24, 25, 0, 22, 2012, 29, 34, 0, 12, 2011, 48, 13, 2, 23, 지역, 가맹점수, 평균매출액, 서울, 53, 202,659, 부산, 9, 88,586, 대구, 4, 142,339, 인천, 10, 121,932, 광주, 2, 231,863, 대전, 13, 180,614, 울산, 3, 125,427, 경기, 41, 175,249, 강원, 16, 161,230, 충북, 8, 129,529, 충남, 10, 148,786, 전북, 10, 140,515, 전남, 15, 139,372, 경북, 11, 162,516, 경남, 18, 139,229, 제주, 12, 223,948, 전체, 235, 157,112, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, 3,300, 2,000, 156,051, ...]"
"[파스쿠찌, 연도, 가맹점, 직영점, 합계, 2013, 266, 54, 320, 2012, 209, 52, 261, 2011, 131, 52, 183, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 68, 0, 11, 26, 2012, 86, 0, 8, 17, 2011, 78, 0, 2, 3, 지역, 가맹점수, 평균매출액, 서울, 75, 462,100, 부산, 14, 424,857, 대구, 15, 611,598, 인천, 16, 439,327, 광주, 13, 358,403, 대전, 9, 303,093, 울산, 13, 572,262, 경기, 46, 370,474, 강원, 3, , 충북, 15, 458,888, 충남, 8, 395,060, 전북, 5, 388,205, 전남, 13, 343,684, 경북, 7, 541,359, 경남, 11, 343,277, 제주, 3, , 전체, 266, 433,370, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 14,300, 1,650, 10,000, 201,520, ...]"
"[할리스, 연도, 가맹점, 직영점, 합계, 2013, 348, 36, 384, 2012, 324, 28, 352, 2011, 297, 24, 321, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 43, 19, 0, 37, 2012, 52, 25, , 54, 2011, 73, 16, 0, 30, 지역, 가맹점수, 평균매출액, 서울, 120, 363,266, 부산, 8, 375,651, 대구, 6, 298,483, 인천, 10, 285,481, 광주, 19, 346,578, 대전, 9, 276,510, 울산, 2, , 경기, 80, 339,439, 강원, 11, , 충북, 15, , 충남, 7, , 전북, 12, , 전남, 12, 224,489, 경북, 19, 416,714, 경남, 16, 306,387, 제주, 2, , 전체, 348, 356,207, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 6,600, 4,400, 10,000, 185,700, ...]"
"[탐앤탐스, 연도, 가맹점, 직영점, 합계, 2013, 332, 57, 389, 2012, 306, 41, 347, 2011, 267, 35, 302, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 42, 16, 0, 26, 2012, 44, 5, 0, 28, 2011, 42, 5, 0, 17, 지역, 가맹점수, 평균매출액, 서울, 122, , 부산, 37, , 대구, 5, , 인천, 9, , 광주, 12, , 대전, 11, , 울산, 4, , 경기, 63, , 강원, 3, , 충북, 2, , 충남, 9, , 전북, 16, , 전남, 11, , 경북, 9, , 경남, 15, , 제주, 4, , 전체, 332, , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 11,000, , 10,000, 216,658, ...]"
"[투썸플레이스, 연도, 가맹점, 직영점, 합계, 2013, 396, 40, 436, 2012, 269, 39, 308, 2011, 175, 30, 205, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 131, 0, 4, 12, 2012, 102, 2, 6, 12, 2011, 83, 0, 7, 12, 지역, 가맹점수, 평균매출액, 서울, , , 부산, , , 대구, , , 인천, , , 광주, , , 대전, , , 울산, , , 경기, , , 강원, , , 충북, , , 충남, , , 전북, , , 전남, , , 경북, , , 경남, , , 제주, , , 전체, , , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 22,000, 1,650, 10,000, 244,250, ...]"
"[엔제리너스, 연도, 가맹점, 직영점, 합계, 2013, 762, 83, 845, 2012, 629, 71, 700, 2011, 480, 60, 540, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 157, 8, 16, 70, 2012, 166, 8, 9, 79, 2011, 180, 1, 10, 34, 지역, 가맹점수, 평균매출액, 서울, 101, 386,167, 부산, 100, 499,568, 대구, 52, 469,070, 인천, 19, 334,789, 광주, 36, 492,921, 대전, 30, 363,234, 울산, 33, 475,416, 경기, 108, 350,431, 강원, 24, 394,079, 충북, 34, 356,632, 충남, 39, 475,093, 전북, 29, 371,703, 전남, 25, 414,033, 경북, 39, 431,093, 경남, 89, 452,179, 제주, 4, 389,168, 전체, 762, 422,306, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 11,000, 440, 15,000, 217,500, ...]"
"[이디야, 연도, 가맹점, 직영점, 합계, 2013, 863, 10, 873, 2012, 625, 8, 633, 2011, 427, 6, 433, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 249, 0, 11, 47, 2012, 210, 5, 7, 35, 2011, 149, 2, 14, 32, 지역, 가맹점수, 평균매출액, 서울, 367, 261,862, 부산, 75, 232,247, 대구, 9, 175,645, 인천, 46, 266,377, 광주, 3, , 대전, 12, 219,286, 울산, 13, 200,744, 경기, 208, 246,126, 강원, 15, 228,662, 충북, 5, 148,122, 충남, 11, 194,879, 전북, 51, 252,213, 전남, 5, 127,996, 경북, 15, 251,558, 경남, 21, 204,503, 제주, 7, 233,098, 전체, 863, 247,875, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 7,700, 3,300, 5,000, 92,550, ...]"
"[카페베네, 연도, 가맹점, 직영점, 합계, 2013, 850, 32, 882, 2012, 776, 35, 811, 2011, 676, 25, 701, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 101, 0, 27, 89, 2012, 127, 0, 27, 69, 2011, 301, 0, 8, 69, 지역, 가맹점수, 평균매출액, 서울, , , 부산, , , 대구, , , 인천, , , 광주, , , 대전, , , 울산, , , 경기, , , 강원, , , 충북, , , 충남, , , 전북, , , 전남, , , 경북, , , 경남, , , 제주, , , 전체, , , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, , 11,000, 5,000, 268,650, ...]"
